user,location,created_at,text,text_en
modestetokpe,"Etampes, 91",Sat Oct 19 15:36:22 +0000 2019,bonjour @EA_FIFA_France est-ce qu’on pourra bientôt dribbler et faire des feintes de frappe sur FIFA20 en mode carrière joueur ?,hello @EA_FIFA_France are we will soon dribble and make feigned strike on FIFA20 player in career mode?
Shubhamparth1,"New Delhi, India",Sat Oct 19 15:36:26 +0000 2019,How do I complete 30 matches of fut champs when I am falling asleep in the middle of each match ? This is so boring… https:\/\/t.co\/4jlFRh4olq,How do I complete 30 matches of fut champs when I am falling asleep in the middle of each match ? This is so boring… https:\/\/t.co\/4jlFRh4olq
6KBinks,,Sat Oct 19 15:37:45 +0000 2019,RT @iamkvlvsh_: J'en peut plus de cette équipe de mort ! Des modifs a proposer pour 100 150k svp #FIFA20 https:\/\/t.co\/aDqAJwJU8P,@Iamkvlvsh_ RT: I can over the death of team! Some mods to propose to please 150k 100 # FIFA20 https: \ / \ / t.co \ / aDqAJwJU8P
Artify_Kd,"Kaduna, Nigeria",Sat Oct 19 15:37:55 +0000 2019,"RT @EsportsNigeria: Your two thumbs are going to be required for this one going down at '2Thumbs' lounge. 

.....

2thumbs FIFA tournament…","RT @EsportsNigeria: Your two thumbs are going to be required for this one going down at '2 Thumbs' lounge.
.....
2 thumbs FIFA tournament…"
YRNSheem_,,Sat Oct 19 15:38:12 +0000 2019,"Selling FIFA 20 Ultimate Edition code %50 off-$50

Champions Edition $30 

Legit will show 50+ vouches legit and as… https:\/\/t.co\/sIQwpieIbf","Selling FIFA 20 Ultimate Edition code %50 off-$50

Champions Edition $30 

Legit will show 50+ vouches legit and as… https:\/\/t.co\/sIQwpieIbf"
EA_FIFA_Italia,Italia,Sat Oct 19 15:38:21 +0000 2019,".@EdDzeko , @JamesMilner e @JNavas #UltimateScream infestano gli Obiettivi Settimanali e le Sfide Creazione Rosa di… https:\/\/t.co\/0RGRks5ofE",". @ EdDzeko, @JamesMilner and @JNavas #UltimateScream infest Weekly Goals and Challenges Creation Rose ... https: \ / \ / t.co \ / 0RGRks5ofE"
Yasalame123,,Sat Oct 19 15:38:32 +0000 2019,@royal_dominance dann soll einer sagen #fifa20 ist nicht realistisch hahah kappa,@royal_dominance then should one say # fifa20 is not realistic hahah kappa
TVTOON2,,Sat Oct 19 15:38:34 +0000 2019,"O esquerdismo atacando a modelagem do FIFA, cicatrizes são a razão do viver!","Leftism attacking the modeling of FIFA, scars are the reason for living!"
isKemero,Deutschland,Sat Oct 19 15:38:40 +0000 2019,"Ich werde jetzt gleich meine ersten Spiele in #FUTChampions  machen. Leider noch nicht dazu gekommen, versuche mein… https:\/\/t.co\/tt8yCD9yqG",I'm going to do right now my first games in #FUTChampions. Not gotten around to trying my ... https: \ / \ / t.co \ / tt8yCD9yqG
aziz_sa15,RealMadrid,Sat Oct 19 15:38:46 +0000 2019,@YRMFC Fifa20,@YRMFC Fifa20
9o7aib,,Sat Oct 19 15:38:51 +0000 2019,"RT @iM2rWan: #FIFA20

الشعب حالياً بالفوت https:\/\/t.co\/iEM7WOCs0S","RT @ iM2rWan: # FIFA20

Currently people Balfot https: \ / \ / t.co \ / iEM7WOCs0S"
Nachcar,,Sat Oct 19 15:38:52 +0000 2019,"RT @Polygamer: Dommage pour les 10M d’acheteurs de #FIFA20 qui n’ont pas attendu notre test. On vous aurait prévenu...
https:\/\/t.co\/dHnPtI2…","@Polygamer RT: Too bad for 10M # FIFA20 buyers who did not wait for our test. We warned you would ...
https: \ / \ / t.co \ / dHnPtI2 ..."
belltree_axs,日本 北海道,Sat Oct 19 15:38:57 +0000 2019,"RasLeo18th Div2 第1節(再) vs BREAK TIME (19.10.19 24:40~) 【Atractivo\/ラスレオ\/FIFA20】
#PS4live (FIFA 20)  live at https:\/\/t.co\/IltKkPBSon","RasLeo18th Div2 Section 1 (re) vs BREAK TIME (19.10.19 24: 40 ~) [Atractivo \ / su ra Ritz Bio \ / FIFA20]
# PS4live (FIFA 20) live at https: \ / \ / t.co \ / IltKkPBSon"
Pablo_GHG,Tatooine,Sat Oct 19 15:39:02 +0000 2019,PAT: 67000. My best this year :) #FIFA20 https:\/\/t.co\/ODITJtZHFm,PAT: 67000. My best this year :) #FIFA20 https:\/\/t.co\/ODITJtZHFm
TeamDeepViZone,Deutschland,Sat Oct 19 15:39:11 +0000 2019,"RT @isKemero: Ich werde jetzt gleich meine ersten Spiele in #FUTChampions  machen. Leider noch nicht dazu gekommen, versuche mein bestes. W…",RT @isKemero: I'm going to do the same my first games in #FUTChampions. Not gotten around to try my best. W ...
__v6b,"الشمال, المملكة العربية السعودية",Sat Oct 19 15:39:21 +0000 2019,"اوهه شيييت !!! :) 
#السعوديين 
#FIFA20 
#Fortnite 
#اعدام_راجح 
#القصيم 
#النصر_الرايد https:\/\/t.co\/xtuvKj3OtJ","Aoha Hieat !!! :)
# Saudis
# FIFA20
#Fortnite
# Aaadam_rajeh
Qassim #
# Nasr_alraad https: \ / \ / t.co \ / xtuvKj3OtJ"
konkersLufc,,Sat Oct 19 15:39:23 +0000 2019,RT @UniqueRiggers: Please put the Scream Cards in the Weekend League Rewards as Player Picks @EASPORTSFIFA #Fifa20 https:\/\/t.co\/0On2uyWPwc,RT @UniqueRiggers: Please put the Scream Cards in the Weekend League Rewards as Player Picks @EASPORTSFIFA #Fifa20 https:\/\/t.co\/0On2uyWPwc
McgannLiam,"North West, England",Sat Oct 19 15:39:28 +0000 2019,"RT @Stretchy99: Makes sense, Aguero scares defenders and Otamendi terrifies City fans. https:\/\/t.co\/W4OpDG9Xmo","RT @Stretchy99: Makes sense, Aguero scares defenders and Otamendi terrifies City fans. https:\/\/t.co\/W4OpDG9Xmo"
Pauline19082,"Compiègne, Picardie",Sat Oct 19 15:39:42 +0000 2019,RT @modestetokpe: bonjour @EA_FIFA_France est-ce qu’on pourra bientôt dribbler et faire des feintes de frappe sur FIFA20 en mode carrière j…,RT @modestetokpe: hello @EA_FIFA_France are we will soon dribble and make feigned FIFA20 on strike in career mode j ...
SupStreamersRT2,Worldwide,Sat Oct 19 15:39:45 +0000 2019,RT @LMargo96: WL in ESports Niveau rasieren! :P https:\/\/t.co\/YB0TsK6bVj via @YouTube @TwitchHost #SupportSmallStreamer #SupportSmallStreame…,RT @LMargo96: WL in ESports Niveau rasieren! :P https:\/\/t.co\/YB0TsK6bVj via @YouTube @TwitchHost #SupportSmallStreamer #SupportSmallStreame…
